Date,Price (USD)
2025-06-02,105710.01
2025-06-03,105884.74
2025-06-04,105434.48
2025-06-05,104812.92
2025-06-06,101650.74
2025-06-07,104409.75
2025-06-08,105681.45
2025-06-08,105863.64
